numero,grupo,arquivo,estrutura
1,G1,1.png,"Aorta"
2,G1,2.png,"Parte torácica da aorta"
3,G1,3.png,"aa. Intercostais posteriores"
4,G1,4.png,"Ramo dorsal"
5,G1,5.png,"Ramo colateral"
6,G1,6.png,"Ramo cutâneo lateral"
7,G1,7.png,"Ramos mamários laterais"
8,G1,8.png,"a. Subcostal"
9,G1,9.png,"a. Axilar"
10,G1,10.png,"a. Torácica superior"
11,G1,11.png,"a. Torácica lateral"
12,G1,12.png,"a. Subclávia"
13,G1,13.png,"Tronco costocervical"
14,G1,14.png,"a. Intercostal suprema"
15,G1,15.png,"1° e 2° aa. Intercostais anteriores"
16,G1,16.png,"Torácica interna"
17,G1,17.png,"aa. Intercostais anteriores (1° à 6)"
18,G1,18.png,"Ramos mamários mediais"
19,G1,19.png,"Ramos perfurantes"
20,G1,20.png,"Ramos esternais"
21,G1,21.png,"a. Musculofrênica"
22,G1,22.png,"aa. Intercostais anteriores (7° à 9°)"
23,G1,23.png,"a. Epigástrica superior"
24,G1,24.png,"Feixe vásculo-nervoso intercostal principal"
25,G1,25.png,"Feixe vásculo-nervoso intercostal colateral"
26,G1,26.png,"nn. Intercostais posteriores (1° a 11°)"
27,G1,27.png,"Ramo dorsal"
28,G1,28.png,"Ramo anterior"
29,G1,29.png,"Ramo colateral"
30,G1,30.png,"Ramo cutâneo lateral"
31,G1,31.png,"Ramos mediais"
32,G1,32.png,"Ramos laterais"
33,G1,33.png,"Ramo cutâneo anterior"
34,G1,34.png,"Ramos mediais"
35,G1,35.png,"Ramos laterais"
36,G1,36.png,"Ramo comunicante branco"
37,G1,37.png,"Ramo comunicante cinzento"
38,G1,38.png,"nn. Subcostais"
39,G1,39.png,"n. Peitoral lateral"
40,G1,40.png,"n. Peitoral medial"
41,G1,41.png,"n. torácico longo"
42,G2,42.png,"1° v. Intercostal posterior"
43,G2,43.png,"2° a 4° vv. Intercostais posteriores"
44,G2,44.png,"v. Intercostal superior D"
45,G2,45.png,"v. Intercostal superior E"
46,G2,46.png,"Plexo venoso vertebral anterior externo"
47,G2,47.png,"Plexo venoso vertebral anterior interno"
48,G2,48.png,"Plexo venoso vertebral posterior externo"
49,G2,49.png,"v. Lombar ascendente E"
50,G2,50.png,"v. Subcostal E"
51,G2,51.png,"vv. Hemiázigo (recebe como tributárias as vv. IC’s posteriores D – 9° à 11°)"
52,G2,52.png,"vv. Intercostais posteriores (5° a 8°)"
53,G2,53.png,"vv. Hemiázigo acessória"
54,G2,54.png,"v. Lombar ascendente D"
55,G2,55.png,"v. Subcostal D"
56,G2,56.png,"v. Ázigo (recebe como tributárias as vv. IC’s posteriores D – 5° à 11°)"
57,G2,57.png,"vv. Intercostais anteriores"
58,G2,58.png,"vv. musculofrênicas"
59,G2,59.png,"vv. Epigástricas superiores"
60,G2,60.png,"vv. Torácicas internas"
61,G2,61.png,"vv. mediastinais, esofágicas e bronquiais"
62,G2,62.png,"v. Braquiocefálica D"
63,G2,63.png,"v. Braquiocefálica E"
64,G2,64.png,"Veia cava superior"
65,G3,65.png,"Sulco intermamário"
66,G3,66.png,"Sulco inframamário"
67,G3,67.png,"Estroma da mama (tecido conjuntivo de sustentação)"
68,G3,68.png,"Ligamentos suspensores da mama"
69,G3,69.png,"Corpo da mama (ductos, gordura, vasos e nervos)"
70,G3,70.png,"Leito da mama"
71,G3,71.png,"Espaço retromamário"
72,G3,72.png,"Aréola da mama"
73,G3,73.png,"Papila mamária"
74,G3,74.png,"Glândulas areolares"
75,G3,75.png,"Processo axilar da mama"
76,G3,76.png,"Lóbulos da mama"
77,G3,77.png,"Ductos lactíferos"
78,G3,78.png,"Seios Lactíferos"
79,G3,79.png,"a. axilar"
80,G3,80.png,"a. Torácica lateral"
81,G3,81.png,"Ramos mamários laterais"
82,G3,82.png,"a. Subclávia"
83,G3,83.png,"a. Torácica interna"
84,G3,84.png,"Ramos mamários laterais"
85,G3,85.png,"a. Intercostais posteriores"
86,G3,86.png,"Ramos cutâneos laterais"
87,G3,87.png,"Ramos mamários laterais"
88,G3,88.png,"vv. Mamárias laterais"
89,G3,89.png,"vv. Torácicas laterais"
90,G3,90.png,"v. Axilar"
91,G3,91.png,"vv. Mamárias mediais"
92,G3,92.png,"vv. Torácicas internas"
93,G3,93.png,"v. Subclávia"
94,G3,94.png,"vv. Intercostais anteriores"
95,G3,95.png,"vv. Intercostais posteriores"
96,G3,96.png,"Plexos venosos vertebrais"
97,G3,97.png,"Sistema ázigo"
98,G3,98.png,"nn. Supraclaviculares"
99,G3,99.png,"Ramos cutâneos mediais dos nn. intercostais anteriores"
100,G3,100.png,"Ramos cutâneos laterais dos nn. intercostais posteriores"
101,G3,101.png,"Explique a drenagem linfática das mamas"
102,G4,102.png,"Mediastino"
103,G4,103.png,"Cavidade pulmonar D"
104,G4,104.png,"Cavidade pulmonar E"
105,G4,105.png,"Mediastino superior (determinar todos os limites)"
106,G4,106.png,"Mediastino inferior"
107,G4,107.png,"Mediastino anterior"
108,G4,108.png,"Mediastino médio"
109,G4,109.png,"Mediastino posterior"
110,G4,110.png,"n. Frênico"
111,G4,111.png,"n. Vago"
112,G4,112.png,"n. Laríngeo recorrente"
113,G4,113.png,"n. Laríngeo superior"
114,G4,114.png,"Ramo externo"
115,G4,115.png,"Ramo interno"
116,G4,116.png,"Plexo esofágico"
117,G4,117.png,"Plexo aórtico torácico"
118,G4,118.png,"Plexo cardíaco"
119,G4,119.png,"Plexo pulmonar anterior"
120,G4,120.png,"Plexo pulmonar posterior"
121,G4,121.png,"Tronco simpático"
122,G4,122.png,"Gânglios simpáticos"
123,G4,123.png,"a. Pericardicofrênica"
124,G4,124.png,"vv.  Pericardicofrênicas"
125,G4,125.png,"n. Esplâncnico torácico maior"
126,G4,126.png,"n. Esplâncnico torácico menor"
127,G4,127.png,"n. Esplâncnico torácico imo"
128,G4,128.png,"Ramos Viscerais"
129,G4,129.png,"aa. Esofágicas"
130,G4,130.png,"aa. Bronquiais"
131,G4,131.png,"aa. Pericárdicas"
132,G4,132.png,"aa. Mediastinais"
133,G4,133.png,"Ramos Parietais"
134,G4,134.png,"aa. Frênicas superiores"
135,G4,135.png,"aa. Intercostais post."
136,G4,136.png,"aa. Subcostais"
