numero,grupo,arquivo,estrutura
1,G1,1.png,"Aorta"
2,G1,2.png,"Parte torácica da aorta"
3,G1,3.png,"aa. Intercostais posteriores"
4,G1,4.png,"Ramo dorsal"
5,G1,5.png,"Ramo colateral"
6,G1,6.png,"Ramo cutâneo lateral"
7,G1,7.png,"Ramos mamários laterais"
8,G1,8.png,"a. Subcostal"
9,G1,9.png,"a. Axilar"
10,G1,10.png,"a. Torácica superior"
11,G1,11.png,"a. Torácica lateral"
12,G1,12.png,"a. Subclávia"
13,G1,13.png,"Tronco costocervical"
14,G1,14.png,"a. Intercostal suprema"
15,G1,15.png,"1° e 2° aa. Intercostais anteriores"
16,G1,16.png,"Torácica interna"
17,G1,17.png,"aa. Intercostais anteriores (1° à 6)"
18,G1,18.png,"Ramos mamários mediais"
19,G1,19.png,"Ramos perfurantes"
20,G1,20.png,"Ramos esternais"
21,G1,21.png,"a. Musculofrênica"
22,G1,22.png,"aa. Intercostais anteriores (7° à 9°)"
23,G1,23.png,"a. Epigástrica superior"
24,G1,24.png,"Feixe vásculo-nervoso intercostal principal"
25,G1,25.png,"Feixe vásculo-nervoso intercostal colateral"
26,G1,26.png,"nn. Intercostais posteriores (1° a 11°)"
27,G1,27.png,"Ramo dorsal"
28,G1,28.png,"Ramo anterior"
29,G1,29.png,"Ramo colateral"
30,G1,30.png,"Ramo cutâneo lateral"
31,G1,31.png,"Ramos mediais"
32,G1,32.png,"Ramos laterais"
33,G1,33.png,"Ramo cutâneo anterior"
34,G1,34.png,"Ramos mediais"
35,G1,35.png,"Ramos laterais"
36,G1,36.png,"Ramo comunicante branco"
37,G1,37.png,"Ramo comunicante cinzento"
38,G1,38.png,"nn. Subcostais"
39,G1,39.png,"n. Peitoral lateral"
40,G1,40.png,"n. Peitoral medial"
41,G1,41.png,"n. torácico longo"
42,G2,42.png,"1° v. Intercostal posterior"
43,G2,43.png,"2° a 4° vv. Intercostais posteriores"
44,G2,44.png,"v. Intercostal superior D"
45,G2,45.png,"v. Intercostal superior E"
46,G2,46.png,"Plexo venoso vertebral anterior externo"
47,G2,47.png,"Plexo venoso vertebral anterior interno"
48,G2,48.png,"Plexo venoso vertebral posterior externo"
49,G2,49.png,"v. Lombar ascendente E"
50,G2,50.png,"v. Subcostal E"
51,G2,51.png,"vv. Hemiázigo (recebe como tributárias as vv. IC’s posteriores D – 9° à 11°)"
52,G2,52.png,"vv. Intercostais posteriores (5° a 8°)"
53,G2,53.png,"vv. Hemiázigo acessória"
54,G2,54.png,"v. Lombar ascendente D"
55,G2,55.png,"v. Subcostal D"
56,G2,56.png,"v. Ázigo (recebe como tributárias as vv. IC’s posteriores D – 5° à 11°)"
57,G2,57.png,"vv. Intercostais anteriores"
58,G2,58.png,"vv. musculofrênicas"
59,G2,59.png,"vv. Epigástricas superiores"
60,G2,60.png,"vv. Torácicas internas"
61,G2,61.png,"vv. mediastinais, esofágicas e bronquiais"
62,G2,62.png,"v. Braquiocefálica D"
63,G2,63.png,"v. Braquiocefálica E"
64,G2,64.png,"Veia cava superior"
